,oclc_number,title,author,format,language,date,publisher
0,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2002,New Delhi : Vistaar
1,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,eBook : Document,English,2001,"Thousand Oaks, Calif. : Pine Forge Press"
2,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,eBook,English,"2001
Online-ausg","Thousand Oaks, Calif ; London : Pine Forge"
3,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,London : Sage
4,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,"Thousand Oaks, California : Pine forge"
5,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,eBook : Document,English,2001,"Thousand Oaks, Calif. : Pine Forge Press"
6,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,"Thousand Oaks, California : Pine Forge Press"
7,62123162.0,Sociological theory,by Bert N Adams,Print book,English,2001,"Thousand Oaks, Calif. : Pine Forge Press"
8,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,"Thousand Oaks, Calif. : Pine Forge Press"
9,62123162.0,Sociological theory,by Bert N Adams; Rosalind Ann Sydie,Print book,English,2001,Thousand Oaks (Calif.) ; London ; New Delhi : Pine Forge Press
10,62123162.0,Sociological Theory.,by Dr  Bert N  N Adams; Professor R  A  A Sydie,eBook : Document,English,2001,Thousand Oaks : SAGE Publications
11,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,"Thousand Oaks, Calif.[u.a.] : Pine Forge Press"
12,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,"Thousand Oaks, California : Pine Forge Press"
13,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,eBook : Document,English,2001,"Thousand Oaks, Calif. : Pine Forge Press"
14,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,"Thousand Oaks, Calif. : Pine Forge Press"
15,62123162.0,Sociological theory,by Bert N Adams; R  A Sydie,Print book,English,2001,London : SAGE
16,62123162.0,Sociological Theory,by R  A Sydie; Bert N Adams,Print book : Document  Computer File,,2001,Sage Publications
17,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Grażyna Woroniecka; Aleksander Manterys; et al,Print book,Polish,"2012
Wyd. 1, 6 dodr",Warszawa : Wydawnictwo Naukowe PWN
18,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Grażyna Woroniecka; Aleksander Manterys; et al,Print book,Polish,"2010
Wyd. 1, 5 dodr",Warszawa : Wydawnictwo Naukowe PWN
19,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Grażyna Woroniecka; Aleksander Manterys; et al,Print book,Polish,"2008
Wyd. 1, 4 dodr",Warszawa : Wydawnictwo Naukowe PWN
20,549028728.0,"社会学理论的结构 /
She hui xue li lun de jie gou",by Na Te; Rner Tu; Zeqi Qiu; Maoyuan Zhang;,Print book,Chinese,"2006
Di 1 ban","华夏出版社, Beijing : Hua xia chu ban she"
21,549028728.0,"社会学理论的結构 /
She hui xue li lun de jie gou",by Jonathan H Turner,Print book,Chinese,"2006
Di 1 ban","華夏出版社, Beijing Shi : Hua xia chu ban she"
22,549028728.0,"社会学理论的结构 = The structure of sociological theory /
She hui xue li lun de jie gou = The structure of sociological theory","by 特纳 (Turner,Jonathan H.) Jonathan H. Turner.; Zeqi Qiu, (fu jiao shou); Maoyuan Zhang",Print book,Chinese,"2006
Di 1 ban","华夏出版社, Beijing : Hua xia chu ban she"
23,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Grażyna Woroniecka; Aleksander Manterys; et al,Print book,Polish,"2006
Wyd. 1, 3 dodr",Warszawa : Wydawnictwo Naukowe PWN
24,549028728.0,بناء نظرية علم الاجتماع,"by تيرنر، جوناثان, المؤلف. ;",Print book,Arabic,2006,منشأة المعارف،
25,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Grażyna Woroniecka; Aleksander Manterys; et al,Print book,Polish,"2005
Wyd. nowe, 2 dodr",Warszawa : Wydawnictwo Naukowe PWN
26,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2004
7. ed., [Nachdr.]","Belmont, Calif. : Wadsworth Thomson"
27,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2004
2nd print",Belmont (Calif.) : Wadsworth Thomson Learning
28,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Grażyna Woroniecka; Aleksander Manterys; et al,Print book,Polish,"2004
Wyd. nowe",Warszawa : Wydaw. Naukowe PWN
29,549028728.0,Struktura teorii socjologicznej,by Jonathan H Turner; Grażyna Woroniecka; Aleksander Manterys; et al,Print book,Polish,"2004
Wyd. nowe, dodr",Warszawa : Wydaw. Naukowe PWN
30,549028728.0,The structure of sociological theory,by Jonathan H Turner,eBook : Document,English,"2003
7th ed","Belmont, CA : Wadsworth Thomson Learning"
31,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2003
7th ed",Belmont CA : Wadsworth Thomson Learning
32,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2003
7th ed","Belmont, CA : Wadsworth Thomson Learning"
33,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2003
7. ed",Belmont : Wadsworth/Thomson learning
34,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2003
7th ed",Belmont (Calif.) : Thomson/Wadsworth
35,549028728.0,The structure of sociological theory,by Jonathan H Turner;,Print book,English,"2003
7. ed","Belmont, CA : Wadsworth Thomson Learning"
36,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2003
7th ed",Australia : Thomson/Wadsworth
37,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2003
7th ed","Belmont, California : Thomson-Wadsworth"
38,549028728.0,The structure of sociological theory,by Jonathan H Turner,Print book,English,"2003
7th ed",Belmont CA : Wadsworth Thomson Learning
